titulo;tipo_paper;doi
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Conferencepaper;
;Conferencepaper;
;Journalarticle;10.1108/DPM-03-2016-0054
;Journalarticle;10.1007/s11069-016-2564-x
;Journalarticle;10.1007/s11069-016-2568-6
;Journalarticle;
;Journalarticle;10.18848/2329-1621/CGP/v11i04/59-74
;Journalarticle;10.20965/jdr.2016.p1190
;Journalarticle;10.1007/s11069-016-2550-3
;Journalarticle;10.1080/09640568.2015.1116981
;Journalarticle;10.1051/e3sconf/20160717003
;Journalarticle;10.1016/j.ijdrr.2016.08.025
;Journalarticle;10.20965/jdr.2016.p0889
;Booksection;10.1007/s11069-016-2412-z
;Journalarticle;10.1007/s13753-016-0095-4
;Journalarticle;10.1016/j.ijdrr.2016.07.001
;Journalarticle;10.1016/j.ienj.2015.11.009
;Journalarticle;10.1080/13669877.2016.1143864
;Journalarticle;10.1017/dmp.2016.11
;Journalarticle;
;Journalarticle;10.1108/IJDRBE-07-2014-0049
;Journalarticle;10.1016/j.econmod.2016.02.029
;Journalarticle;
;Journalarticle;10.3390/ijerph13050507
;Journalarticle;10.1007/s11069-016-2204-5
;Book;
;Journalarticle;
;Conferencepaper;
;Conferencepaper;
;Journalarticle;
;Journalarticle;
;Journalarticle;10.1080/1041794X.2015.1111407
;Journalarticle;10.1061/(ASCE)NH.1527-6996.0000191
;Journalarticle;
;Journalarticle;10.3846/20297955.2016.1159533
;Journalarticle;10.1080/13683500.2014.990424
;Journalarticle;
;Journalarticle;
;Journalarticle;10.17645/pag.v4i4.741
;Journalarticle;
;Journalarticle;
;Journalarticle;10.19191/EP16.2S1.P093.055
;Journalarticle;
;Journalarticle;10.1016/j.proeng.2016.04.156
;Journalarticle;10.1016/j.proeng.2016.08.153
;Journalarticle;10.1108/IJDRBE-05-2015-0029
;Journalarticle;10.1108/IJDRBE-08-2014-0066
;Journalarticle;10.1108/IJDRBE-09-2014-0068
;Journalarticle;10.1108/DPM-01-2016-0006
;Journalarticle;10.1108/DPM-11-2015-0263
;Journalarticle;10.18874/ae.75.1.08
;Book;10.20965/jdr.2016.p0486
;Journalarticle;10.20965/jdr.2016.p0476
;Journalarticle;10.4067/invi.v0i0.976
;Journalarticle;10.1002/sres.2302
;Journalarticle;10.1177/0275074014532708
;Journalarticle;10.1007/s11069-014-1400-4
;Booksection;10.17730/0018-7259-74.4.308
;Journalarticle;10.1111/jfr3.12098
;Book;10.1108/IJDRBE-08-2013-0033
;Book;10.1093/bjsw/bcv126
;Conferencepaper;10.1093/bjsw/bcv090
;Journalarticle;10.1007/s11069-015-1826-3
;Booksection;10.1080/08111146.2014.980401
;Journalarticle;10.20965/jdr.2015.p0939
;Journalarticle;10.20965/jdr.2015.p0807
;Journalarticle;
;Journalarticle;10.1177/0002764215591186
;Journalarticle;10.1007/s13753-015-0066-1
;Journalarticle;
;Journalarticle;10.1061/(ASCE)NH.1527-6996.0000166
;Book;10.1061/(ASCE)NH.1527-6996.0000172
;Journalarticle;
;Conferencepaper;
;Journalarticle;10.1080/15325024.2013.877771
;Conferencepaper;10.5014/ajot.2015.015990
;Conferencepaper;10.1108/IJDRBE-01-2014-0009
;Journalarticle;10.1108/IJDRBE-07-2013-0025
;Conferencepaper;10.1108/IJDRBE-06-2013-0019
;Journalarticle;
;Journalarticle;10.1111/cico.12105
;Journalarticle;10.1016/j.jenvp.2015.01.004
;Booksection;10.1080/09614524.2015.1028334
;Journalarticle;10.1177/0976399614563221
;Journalarticle;10.1111/disa.12098
;Journalarticle;10.1111/jors.12119
;Journalarticle;10.1061/(ASCE)CO.1943-7862.0000939
;Journalarticle;10.1080/00167223.2014.973056
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;10.3208/jgssp.ESD-KL-7
;Journalarticle;10.1201/b18146-62
;Journalarticle;
;Journalarticle;10.3926/jiem.1468
;Journalarticle;10.1061/9780784479377.056
;Journalarticle;
;Journalarticle;10.1080/1177083X.2015.1071712
;Journalarticle;10.1080/1177083X.2015.1068183
;Journalarticle;
;Booksection;
;Journalarticle;10.1177/0020872815583073
;Journalarticle;10.1177/0020872813477880
;Journalarticle;
;Journalarticle;
;Journalarticle;10.1007/s11069-014-1344-8
;Booksection;10.1080/09640568.2013.839444
;Conferencepaper;10.20965/jdr.2014.p1059
;Journalarticle;10.1016/j.ijdrr.2014.09.016
;Journalarticle;10.1108/IJDRBE-03-2013-0006
;Journalarticle;10.1193/090511EQS221M
;Journalarticle;10.1007/s10826-013-9802-6
;Journalarticle;10.1080/01944363.2014.989399
;Journalarticle;
;Journalarticle;10.20965/jdr.2014.p0743
;Journalarticle;10.20965/jdr.2014.p0673
;Journalarticle;10.13577/j.jnd.2014.0401
;Journalarticle;10.1080/02533839.2013.815419
;Journalarticle;10.2495/FRIAR140141
;Journalarticle;10.1016/j.ijdrr.2013.09.004
;Journalarticle;10.1186/1472-6874-14-18
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
